Review_Id,summary,pros,cons,Date_of_review,Employee_Status,Employee_Title,Rating_Id
RE090,"""Great people &amp; amazing training""",The people here are amazing and everyone seems to be pulling for each other. Very much a team atmosphere. They pay attention to the little things that make your day better/easier. The transparency here is very refreshing... stand ups with the CEO Stu every morning!,None so far. I feel like I keep discovering new 'Pros' every day,23-Apr-19,Current Employee , Regional Account Manager,R0105
RE091,"""Great place to work!...""","Typically RRI's projects are well funded, technically challenging, the work environment is excellent, co-workers are top-notch in their domain, and the company is employee-driven and focused. Benefits and compensation are competitive and work/life balance is encouraged.",Most of the projects are federal and require US citizenship and clearance.,24-Jul-18,Current Employee , Software Engineer,R0106
RE092,"""best benefits""",best benefits... a pension and a 401k health care fully paid including family or domestic partner. Great vacation time and actual sick days,your schedule is not 9-5,24-Feb-20,Current Employee , Strategic Initiatives,R0107
RE093,"""Everyone here does amazing work""","- Get to work with very talented individuals - You will contribute meaningful work within your first week - You work with a supportive group of people - You will be constantly learning as the business is consistently growing - Catered lunches - Fully stocked kitchen - Company events - Company sports - Company-sponsored activities (e.g. 5K's, Tough Mudder, etc) - Afterhours board game sessions - Everything you need to get your work done","So far Hopjump has treated me very well, and I cannot think of anything that would be considered a ""Con""",26-Jul-19,Current Employee , Junior Developer,R0108
RE094,"""Manager""",Great place to learn and grow.,Provide more growth opportunities that create individual value.,1-Sep-18,Current Employee , Anonymous,R0109
RE095,"""Great company""","As a company, Intuitive strives to help its employees feel like they are needed and valued. Generally very friendly and helpful support staff.",Rigidity in processes and technical leadership. Ambiguous career growth opportunities.,12-Aug-19,Current Employee , Senior Software Engineer,R0110
RE096,"""Great company, happy culture""","Low stress job, great coworkers, room for development","Management sometimes unprofessional, hard to trust",28-Feb-19,Current Employee , Billing Specialist,R0111
RE097,"""Great Company""",Flexibility Great Team all around the office Fast paced environment since business is growing,no cons that i can think of,24-May-19,Current Employee , Member Service Representative,R0112
RE098,"""Start-up with less funding drama""","Ford ownership seems to impart a degree of confidence for all the teams. It still feels like a start-up: dynamic, fast, space to grow, plenty of room to make a noticeable impact. HQ is a positive environment, where people are motivated. Perks include free catered lunch and snacks!","We're outgrowing our office space. The teams are growing fast and I think it's going to be important to proactively work on team building -- this one's not a con yet, but it has potential.",21-Feb-20,Current Employee , Data Analyst,R0113
RE099,"""Potential Company""",NULL,NULL,15-Jan-20,Current Employee , Manager,R0114
RE100,"""Great company!""","Understanding, dynamic, valuable leaders, engineers, technicians and awesome CEO",Needs to pay valuable employees more.,14-May-19,Current Employee , Technician/CNC Machinist,R0115
RE101,"""Great Company Culture""",NULL,Haven't seen many in the time I've been here,24-Jul-19,Current Employee , Business Development/Inside Sales,R0116
RE102,"""""Body in a seat"" company""",Salary and benefits are great. No mandatory meetings. HR is very helpful.,"Professional growth is not a priority. Field staff are isolated, and ""forgotten"".",18-Dec-13,Current Employee , Systems Administrator,R0117
RE103,"""Excellent place to work""",Urban Airship goes above and beyond to provide an environment where employees can effectively contribute to the company's success while building valuable career capital. The large number of employees that have left and subsequently come back attest to this viewpoint.,Passing Dunbar's number. Watching the company awkwardly respond to the standard set of in-vogue grievances.,29-Mar-19,Current Employee , Engineer,R0118
RE104,"""Great Company to Grow With""","CyberPower is full of hard-working, caring, and friendly individuals. I sincerely enjoy working with my co-workers and appreciate that everyone is willing to assist if you have a question or need help with something. There is a great work-life balance here and I feel like the company cares about me as an individual. CyberPower started as a family company, and even though it is growing, it still has that family atmosphere. (Benefits are GREAT.) CyberPower encourages ownership and promotes employee development. As someone who doesn't like to be ""boxed-in"", I appreciate that I have been able to work on projects across departments and have been trusted with larger projects and initiatives. I have learned much more at CyberPower than I would have at a big-box company - and I've gained some great friends in the process!","Growing companies have growing pains from time to time. There are some departments within the company that are adapting quickly and growing with the company and others where that change is slower. I am, however, encouraged by management’s focus on maintaining our values as we grow.",12-Jun-18,Current Employee , Anonymous,R0119
RE105,"""High integrity all the way!""","Trust and empowerment starts at the top and AllSTEM Connection's leadership delivers. They build teams up by actively listening and carefully understanding the needs of each other and their clients they serve. Living up to their own principle of ""Everything Matters""!",No cons - just a reminder to stay true to your core principles as you carry forward through this time of incredible growth.,10-Mar-19,Current Employee , Vice President Business Development,R0120
RE106,"""Great Environment""",Wonderful people and atmosphere. Great communication and willingness to spread knowledge.,The commute is not good.,28-Jun-19,Current Employee , Test Team,R0121
RE107,"""Great Place to Work""","Fantastic Company to work for. I have not seen an easier management team to work for. That isn't to say they don't expect you to work, but they are extremely reasonable. I have never seen nor heard of an HR or management team that tries as hard to accommodate employees.",If I spent time trying to come up with something negative to say I would be reaching.,16-Jan-20,Current Employee , Systems Engineer,R0122
RE108,"""Awesome Place to Work - Great Culture!""",° Growing company with great room for growth opportunities ° Great culture where you end up working with friends ° Flexibility with home/work balance and focus on employee development ° Entrepreneurial mentality allows for ownership of projects and ability to pursue special projects,"° No cons, but an on-site gym would be nice",30-Jan-19,Current Employee , Marketing & Distribution Manager,R0123
RE109,"""Great company to onboard for growing professionally.""","Transparency, High-speed growth, Knowledgeable, Experts, Supportive team",High-speed growth is not for everybody Plenty of space for internal information management and structure improvement,12-Nov-19,Current Employee , Anonymous,R0124
RE110,"""Long Beach""","Excellent place to work! They are always improving processes, keeping up with the laws and industry. The level of patient care is top knotch!",No 10 hr or 12 hr shifts for techs.,7-Mar-19,Former Employee , Certified Surgical Technologist,R0125
RE111,"""Toward Engineering Excellence""","Work with world top analog, digital, DSP algorithm, and optics experts on pushing the limits of digital communications for AI systems, data center interconnect, and telecom networks. A great place to learn and contribute to exciting novel technology.","Be ready to take on very challenging engineering projects, fast paced schedules, and some negative politics (as everywhere).",16-Jan-20,Current Employee , Senior Director,R0126
RE112,"""Almost 4 months in and loving it!""","Small company feel, family atmosphere. Not just another number and voice is always heard. Monthly company status calls. Solid contract work base and partnerships with large integrators. Pursuing path to support customers in prime position. Scheduling flexibility. Very competitive benefits and continuing to improve as company grows. PTO balance given up front, 18 days!",None that I can think of.,7-Jun-19,Current Employee , Director of Recruiting & Retention,R0127
RE113,"""In the home stretch""","I have worked at Medecision for many years, and have lived through the transition, the leadership changes, and product challenges, and yes, they were trying years. I can state, with true honesty, that I feel Medecision is on the right path! We are lazar focused on the Clients, ensuring we are solving their business problems with our experience and solutions and placing their needs before all. As employees, we get caught up in the negative, which is normal when an organization is in transition. And yes, the years were rough, but I am not aware of any organization that is perfect. We don't take the time to celebrate the accomplishments, and if we are all honest with ourselves, there are many. I believe we have opportunity for additional changes, and I expect they will happen, and I believe Deb is aware, and acting on them. I leave you with this….as a client facing employee, the feedback from the clients is positive, and they recognize and feel the changes we have made and they have trust in our partnership.","There are people who are not willing to be empowered to force change or make a decision. It may be their role, it may be their personality, or it may be their management, but if it is the later, or if you think your hands are tied, talk to Deb or Susan. I spend too much of my time chasing people to assist with an issue or resolve a problem that could be spent with the clients.",24-Mar-16,Current Employee , Anonymous,R0128
RE114,"""Data Analyst""","Friendly people, staff is dedicated to the mission, hospital receives some of the most prestigious grants in the nation, 5 weeks paid time off","salary, but what do you expect in a non-profit hospital?",21-Jul-15,Current Employee , Data Analyst,R0129
RE115,"""Great place to work""",Great benefits and a very innovative company. The best decision I made was to accept the job offer. Great work-life flexibility!,The name is not as recognized as the Big 4 players.,16-Aug-19,Current Employee , Anonymous,R0130
RE116,"""Love it here!""","I love coming to work everyday! I feel like I come to work with friends rather than a going to a job. we have a real opportunity to help people and make a difference in their lives. It doesn't hurt that the overall compensation structure is excellent. The total benefits package is solid - outside of the normal Medical/Dental/Vision, I have access to LT/ST disability, Life Insurance, free public transportation pass, and flexible hours.","Asked to wear many hats - this can be rewarding but also exhausting. If you like to help build a company and shape it's future then this is the right place for you. If you want to punch the clock and collect a paycheck - you will not fit in. I'm not sure this is an actual ""con"" but it can be for some people.",11-Jan-16,Current Employee , Anonymous,R0131
RE117,"""Startup feel at a large company""","Great people - friendly, smart, and helpful. Strong culture of getting work done as an underdog in the industry","Generally don't hire enough people, which contributes to the lean mentality. Pay doesn't seem competitive, and salary growth is minimal outside of promotion. Little flexibility for remote work options.",7-Dec-17,Current Employee , Financial Analyst,R0132
RE118,"""Intern""",Good pay Friendly Staff Direct Report is active in helping you grow your business experience,FTE can be unreasonable with requests,24-Feb-20,Former Employee , Intern,R0133
RE119,"""Great Atmosphere""",Team based atmosphere. People are almost always friendly and willing to help you with problems.,"Company is growing very quickly and so the work load has recently increased dramatically. It keeps you busy, but also feel bogged down at times.",1-Jun-15,Current Employee , Applications Support,R0134
RE120,"""Great Company! Great People! Meaningful Mission!""","I have worked at the Bank for many years. I can honestly say I love my job and feel very fortunate to work at the Bank. Small company creates opportunity for great exposure, able to make a difference each and every day, and the GSE business model is stable and strong.","Bank is highly regulated and decision-making by consensus, while sometimes helpful, can also sometimes be arduous",19-Sep-19,Current Employee , Information Technology,R0135
RE121,"""Great Culture!""",High-paced environment with a variety in each day. Company values employees and takes good care of them. Strong leadership team!,Not many so far. Systems can be a temporary struggle with so many new acquisitions,30-Sep-19,Current Employee , Operations Supervisor,R0136
RE122,"""Surrounded by Smart People""","It's amazing getting to work with so many smart, hard-working people. There are many opportunities to learn new tools and jump on different projects. You won't get bored here. Amazing PMs - as a dev, you won't have to do much administrative work at all.","Sometimes there's big pushes to get work out, but overall, no complaints.",4-Dec-19,Current Employee , Developer,R0137
RE123,"""Outsatanding Company to Work For!""","Small employee owned, seems very employee and family oriented. Excellent benefits for small company, flexible schedule, and lots of opportunity to participate in company functions as well as charitable events. Good corporate communications both in person and thru the corporate web site.","It is a small company where coming from a larger company, that can be challenging, at first anyway. That is about all really.",7-Nov-14,Current Employee , Analyst,R0138
RE124,"""Loved it, loved my job - so hard to leave""",NULL,-Not a startup or tech company; things move more slowly -Bit of bureaucracy -Challenges facing CPG industry in general,3-Feb-20,Former Employee , Commercial Sales Spec,R0139
RE125,"""Amazing place, outstanding culture""",Great value on culture and family. Such an amazing institution to be a part of.,No downsides come to mind. Promotion from within is very possible as long as you put the work in.,25-Mar-19,Current Employee , Anonymous,R0140
RE126,"""Great challenge in this company!""",I found great people that help a lot of the new employees. Everyone is very polite and ready to share their knowledge. Everyone wants to make a life a bit better!,I do not see any!,30-Dec-19,Current Employee , Production Supervisor,R0141
RE127,"""Mortgage Banking""","Culture, work life balance and great place to work.",There are no cons to working here.,16-Jan-20,Current Employee , Controller,R0142
RE128,"""Great Company, Great Team, Great Culture""","Challenging, collaborative, fun, and innovative environment. You will have your freedom to work, learn and grow. No micro management at all . Casual & dynamic culture. Lovely people @HR & Management. Most of employees are working here for 10-25 years.","Salary is average. They do profit sharing , no annual bonuses",2-Feb-20,Current Employee , Tech Support Engineer,R0143
RE129,"""Overall""","Decent pay, 40 hrs sick time every year that does not include PTO",Operations is easy to get fired from. Get in the door and move out to another department.,2-Aug-19,Current Employee , Care Management Associate,R0144
RE130,"""Maintenance mechanic""",Pay that’s all I can say,Don’t consider internal candidates for promoting. No training or room for career advancement,8-Oct-18,Current Employee , Maintenance Mechanic,R0145
RE131,"""The environment I've been looking for.""","Great culture (Relaxed dress, Dogs in office, lots of company mixers, helpful coworkers, an on-going nerf capture the flag war). Good equipment (Mac Pros for devs, Surface books and Pros for most other positions). Snacks and coffee provided. Location puts us close to many of the amenities of the downtown area around the ballpark and arena. Great benefits including a decent work from home policy.","Location is in the flight path of sky harbor, and near a train yard, there are auditory distractions. Open seating, which I've never been a fan of. 401k match is pretty sub-par, but at least there is one. Parking is becoming scarce.",18-Nov-19,Current Employee , Senior Software Engineer,R0146
RE132,"""HAECO go""",Teams Benefits Pay Location Support,Shift work Weekend schedule Work holidays,15-Nov-17,Current Employee , Maintenance Supervisor,R0147
RE133,"""Depending on the Department, could be a Great Job""",Maturing from a small bank mentality to a professional bank under new CEO and CIO. Great cafe and pay seems to be in-line with market.,Not consistent culture across bank. Some groups mature and some heavey into manual outdated processes. Some groups develop staff for leadership and some don’t. HR processs are dated. Lack of bank-wide strategy... but seems to be improving.,7-Jan-19,Current Employee , Anonymous,R0148
RE134,"""Great, friendly, and FLEXIBLE atmosphere""","I love working at Spectrum because of the flexibly, and the 'family like' feeling. Our paid time off is amazing, and the benefits are the best I have seen. We have staff day once a year where we show appreciation to our employees who have worked so hard throughout the year.",I can not think of any,23-Jan-20,Current Employee , Human Resources Generalist,R0149
RE135,"""Great Company, not so great with Management""","Company is growing, and there is a huge potential for success. Lots of Opportunities open internally so resources have room for growth. Great diverse environment! Pay is great too.","1.) Lots of opportunities internally. But I see several resources are burned and bored by issues and routine tasks. 2.) Management was okay, but not great. They know how to listen, but thats just it. No actions after. 3.) Resources should have training opportunities and not just Computer Based Trainings (CBTs). 4.) On hiring process: Manager and supervisors interviews potential candidates and lays out the duties and responsibilities. Upon deployment, the responsibilities are not what was expected (atleast for my case). I was even told that the opportunity is Contract to hire, but I was laid-off telling me that they had to and they no longer have budget for me. 5.) There isn't not much documentations around! No functional documents, which supposedly enable new resources to understand more on the application and the process. No technical documents present for the tier 2 support which could have been a great thing to have to help in identifying the issues and present a conducive approach on fixing issues who are also knowledgeable of the process. No Design documents easily accessible.",16-May-17,Former Employee , Data Analyst ,R0150
RE136,"""Always looking to make the best of every day!""",Leadership teams are always looking for new and innovative ways to improve employee morale and boost culture.,"Consistent changes to processes can lead to a bit of confusion, but all are being discussed and finalized to ensure overall fluidity across all locations.",23-Jul-19,Current Employee , Director of Talent Acquisition,R0151
RE137,"""Great Company""",The culture was fantastic. Departments worked together extremely well and came together as once multiple times throughout the year. Employee development was extremely important. Employees were often promoted within the company. Lots of opportunity to move between departments. Projects were lead and initiated by everyone from interns all the way up to VP's and Presidents. Great product.,"Due to the company size, sometimes there was not as much support as you might want. You often would have to figure out how to do things on your own which means that there was a pretty big learning curve up front. The good news is that new ideas and suggestions were always welcome.",3-Apr-18,Former Employee , Inside Sales Representative,R0152
RE138,"""Best Internship Experience at Honda Aircraft Company""","Positive Atmosphere, Supportive Team, Good Cafeteria, Best in respective fields","Little Remote, More Meetings,",3-Jan-19,Current Employee , Data Analyst Intern,R0153
RE139,"""Great place for those that want to be part of something amazing""","Ability to take ownership and make a difference. Great members to work with. Strong focus on stretching, learning and growing; not just as a member but as a person to be a stronger contributor to society. A lot of indirect compensation options, state-of-the-art on-sight gym, footwear program, learning fund, and on and on. The bonus program is directly tied to what I can impact and it is rewarded monthly.",Not the place for those who do not want to be great. This is operations and that required hard work and some long hours to ensure that our customers/consumers have plenty of great product.,11-Oct-19,Current Employee , Operations,R0154
RE140,"""Great Place to work!!!""",They treat their employees great and the benefits there are awesome!,Getting paid every two weeks,16-Nov-19,Current Employee , SHIPPING CLERK/WAREHOUSE ASSOCIATE,R0155
RE141,"""Staff Consultant""","Everyone here is very intelligent, knows the work and knows the industry with passion. At first glance of leadership, it appears to be a secret society but actually, everyone is friendly with an open door policy. The environment is very relaxed, mostly because everyone works hard anyway. Flexible and family friendly company.",Upward mobility seems to hit a ceiling which can cause valuable employees to leave when they are ready to pursue management positions.,28-Apr-16,Current Employee , Consultant,R0156
RE142,"""Great company to work for""",The benefits are pretty good,The rank structure needs to get thrown away,20-Feb-20,Current Employee , Physical Security Specialist,R0157
RE143,"""Great place to work for the big company experience""",Lots of opportunities Role mobility Supportive managers Focused on Consumers AND Employees,Can get lost in the huge matrix Must be active in networking and growing your brand or you will be passed over Siloed budgets and work,23-Oct-14,Current Employee , OMD Analyst,R0158
RE144,"""Lots to like...but mostly outside of engineering :/""",NULL,"- All management/leadership in engineering is non-white/asian male - Eng management chain is inexperienced and untrained--many are doing their best, but it still shows - One new manager drove away all of his initial reports to other teams and just hired all his buddies from his past job...this is fine™ - Eng/product relationship is neurotic/dysfunctional, partly but not entirely due to gross overwork - PMs don't know how to manage/deal with purely technical projects or servicing technical debt - Whoo boy technical debt - And shaky infrastructure - You basically cannot get promoted unless you are full-stack here, even if your job description is as a frontend engineer.",3-Dec-19,Former Employee , Software Engineer,R0159
RE145,"""Great place to work""","Friendly and professional atmosphere, benefits, etc.",Not applicable. Great place to work,23-Dec-19,Current Employee , Tax Analyst,R0160
RE146,"""Working in the blind""",They want to be the best and most of the workers get along with each other,Management don't communicate a lot of the tasks they want completed but expect it to be done. The workers get blamed when the tasks are not completed. The other workers are apprehensive about going to their supervisor's supervisor because they are best of friends and show it in front of everyone.,24-Apr-14,Former Employee , Informatiom Assurance Specialist,R0161
RE147,"""run and don't look back""","health insurance benefits, good places to eat nearby","outdated technology, illiterate coworkers, general unhappy environment, huge layoffs, unqualified people in management positions, favoritism, unprofessional managers, hiring unqualified friends for positions, just a loud, unprofessional environment and a lot of politics being played when millions of dollars in Medicare and Medicaid funding was at stake. Human resources works against you, they don't follow up on complaints.",20-Oct-14,Former Employee , Business Analyst,R0162
RE148,"""Great company to work for - working on lot of innovative financial products""",Great Environment with zero politics. Everybody including the senior management share the work load which I have seldom seem in other companies.,Growth prospects minimal and very low salary hikes,5-Oct-12,Current Employee , Senior Business Analyst,R0163
RE149,"""Loving My Opps at RBA""","Great job opportunities for projects and exposure to many different organizations. Supportive of employee learning and growth as well as work/life balance and values thought leadership. Teams are encouraged to collaborate with each other to share knowledge and build relationships. The office is a great place to be, people enjoy being here and doing great work for our clients.",None at this time. Truly enjoying working here.,4-Jan-19,Current Employee , Analyst,R0164
RE150,"""Ascending above the noise""","Each person's reality at Veritone is shaped objectively by their attitude, work ethic and production. Those around me who have ascended in rank have done so deservingly, and those who have unfortunately departed, I doubt it was without just cause. This is a place where talent can grow, and despite the noise, a place where sellers can make their customers happy (and earn a few dollars along the way).","My constructive feedback has been shared with and heard by management, in many cases with immediate action.",9-Dec-19,Current Employee , Sales,R0165
RE151,"""great employer""","friendly, considerate, challenging for p promotions","no cons, I was sad to leave",19-Aug-19,Former Employee , Loan Officer,R0166
RE152,"""Much Better Than Past Years""","New policies are more modern (work from home, wear jeans if you'd like, more vacation, etc.) Opportunities for advancement are there. Good work/life balance.",The company could be leaner to help operating income but they're improving compared to years past. Still some people who don't want to change with the culture.,7-May-19,Current Employee , Senior Analyst,R0167
RE153,"""Flexible""",Brand recognition is very strong across the board.,Lots of organizational changes a bit disruptive but overall necessary.,6-Dec-18,Former Employee , Account Executive,R0168
RE154,"""If you take an offer somewhere else, don't give any notice.""",NULL,"- if another company offers you a job and you take it, they will be petty and spiteful. I took an offer with Tesla and turned in my two weeks notice, they let me work those weeks then fired me in the last hour of the last day. - lots of continuous improvement planning with minimal meaningful action - they expect you to work longer hours than your contract says. - ZERO upward movement. A lot of people working here who started in the Stone Age, which is normally good but no one is retiring. So you have to wait for someone to die of old age to get promoted. - lots of ""manager"" roles but they don't report on anyone or manage any programs. Manager in name only. - due to mismanaged acquisitions, there are duplicate departments (I.e. Procurement department, supply chain department, transportation department) which basically do the same thing. - in an effort to not let anyone go, every department has multiple directors. I had two bosses that were in separate departments from me, total nightmare.",27-Jan-18,Former Employee , Supply Chain Specialist,R0169
RE155,"""Awsome place to work""","Good pay and benefits, good people and MGMT",Caters to much to DC reigon,26-Aug-15,Current Employee , Senior Network Engineer,R0170
RE156,"""Great place to work, learn and succeed.""","- Casual work environment - Open door policy (very helpful to ask even our VPs a question without hesitation) - Great co-workers. I've met amazing people throughout my time here. Jenzabar is really good at hiring smart, fun, innovative folks. - Like any job, you get out what you put in. Hard work does not go unnoticed. Coasting/bare minimum effort also does not go unnoticed. - Management: I've been lucky to work for great managers who have taught me (and continue to teach/mentor) valuable skills. - Perks: pretty standard I would say. Standard vacation time (2 weeks for newbies), 401K, health care, amazing location in Boston, work/life balance, free coffee, tea, seltzer, etc. Casual dress code is awesome.","Things can be disorganized, but nothing you can't handle. I would like to see more team building (not within our own teams, but with other teams in the office or other offices). I would also like to see more local based benefits and wellness activities (other than Facebook). This is why I gave benefits 4/5 stars.",27-Nov-18,Current Employee , Operations,R0171
RE157,"""Many reason Bank of the Ozarks is #1""","People should only join the Bank of the Ozarks team if they enjoy winning, because that's what we do. Being named the nations top performing bank for seven years running is a testament to that. We work hard, set goals and crush them.",Great place to work.,8-Feb-18,Current Employee , Anonymous,R0172
RE158,"""Great company to work for""","The company is very receptive to your ideas and feedback as an employee. I have been pleasantly surprised to find a company such a personal approach to healthcare. The work environment is casual, the office space is modern and the coworkers are unpretentious. The company welcomes diversity and personality expressions. The salary and benefits are REALLY good.","The company is new, growing and there are constant changes. As an employee, you have to be willing to do sometimes more than what your job description says. With that being said, there is tremendous opportunity to learn and also to provide ideas/feedback on how to better internal processes. Get ready to learn and grow with us!",6-Jun-19,Current Employee , Anonymous,R0173
RE159,"""I've Achieved a Work Life Balance""",NULL,"It's hard to find negatives, as I genuinely enjoy the company and my role. If I had to give cons: - Travel, but it's minimal. - It would be more convenient for teams to be within the same office space.",12-Feb-20,Current Employee , Mitarbeiter Marketing / Assistent Leistungssport,R0174
RE160,"""Awesome team and mission""",Great group of people. Compelling mission. Interesting industry. Rapid growth.,"It’s a rapid growth environment, which some love, but others might prefer a slower paced environment.",13-Oct-19,Current Employee , Manager,R0175
RE161,"""Good experience""","Laid back environment Casual dress code Remote work option Good retirement plan Very good health insurance Lots of fun company events Management sincerely invests in your career growth and development CFA, CAIA, MBA assistance offered",Salary is not competitive Some employees are too comfortable and can potentially give rise to unprofessional/uncomfortable situations given the laid back environment Cultural group think Open floor plan/low cubes provides very little privacy,20-Jun-19,Current Employee , Consulting Analyst (CSA),R0176
RE162,"""A Lazy Man's Banking Job""","Great hours and pay for the amount of work. The lobby is open from 9-3 M-F and 9-12 on Saturday, which makes for a short and easy day. Also, their sales goals are not very aggressive and with good leadership/coaching skills they can easily be made.",NULL,26-Mar-13,Current Employee , Assistant Vice President/Branch Manager,R0177
RE163,"""Such a Great Place to Work!""","Very welcoming team, great office location right next to beautiful lake with walking path around it. Positive and collaborative leadership all very dedicated to the product. Very thorough onboarding. Weekly lunch and learns, free snacks and beverages, great hours.","A lot of new people without many processes in place yet, but it's an opportunity to create them from the ground up.",27-Feb-20,Current Employee , Senior Marketing Manager,R0178
RE164,"""Great company to work for overall""","Flexible work schedule , good work environment",Political and less promotion space,6-Nov-14,Current Employee , Group Head,R0179
RE165,"""Principal Consultant""",Challenging statistical consulting work with great people.,Some long hours at times.,17-Aug-17,Current Employee , Anonymous,R0180
RE166,"""Very good company""","Good wages, good people to work with. Company cares about us.",Some entitlement from some long time employees. Managers don't deal with all performance issues.,11-Jan-15,Current Employee , Manufacturing Technician,R0181
RE167,"""Amazing culture, huge growth opportunity, lots of responsibility, mutual respect""",NULL,"To be honest, there aren’t any. My only complaint was the need for more manpower but management is doing exceptionally well with adding qualified new talent that fits the company culture.",13-Dec-18,Current Employee , Implementation Analyst,R0182
RE168,"""They made me feel like part of the team at every step!""","What a great group of marketing professionals that I had the pleasure to work with for about two years as a freelancer. I assisted with overflow work like enewsletters and catalogs and met with them every couple months or so. They always treated me like part of the team, including me in meetings and always made me feel comfortable. Their offices are amazing inside too. Its a very comfortable atmosphere.","Nothing. It takes a little time to get on to their approved vendor list, but that's pretty standard for a large company.",13-May-16,Former Employee , Content Specialist,R0183
RE169,"""Energetic, Fast-paced, Fun Environment""","Nothing but good things to say about the people and culture at this company. I have made a lot of friends and it was difficult to leave after almost 5 years here. The department managers have done a great job trying to engage their employees by trying to provide a platform where people can speak their mind and offer suggestions for improvement within the department, which was not the case when I first arrived. I really like the culture and the fact that you can be yourself. The company is paying for you to workout (they cover your LA Fitness membership). You can wear whatever you want. All different types of music is played throughout the day. It is an open-office layout so you are always interacting with people. You are able to laugh and joke around as long as you are getting your work done. There are plenty of extracurricular activities (i.e. Curling, Happy Hours, Trivia nights). They provide a 401K match up to 4.5% which is vested immediately. Decent Healthcare coverage. Vision Insurance. Gym Membership. Bonus increases over time.",- PTO - Individual path for advancement potentially limited within A/R unless new positions are created via company growth,12-Dec-19,Former Employee , A/R Analyst,R0184
RE170,"""Great company with friendly people""",Very nice company to work for,None - Keep up the good work,13-Apr-19,Former Employee , Technician,R0185
RE171,"""Great place to work""",Professional atmosphere and culture Great benefits,None at this time that I can think of.,17-Jan-17,Current Employee , Business Systems Analyst,R0186
RE172,"""Great Internship program with lots of opportunities and insight to offer""",loved every minute of my internship,none from the time period I worked,20-Nov-19,Current Employee , Contracts Intern,R0187
RE173,"""Account Executive""","ConsultNet is without a doubt the best company I've worked for thus far. In a lot of organizations you either find a great culture or an opportunity to make money and advance your career. Here you can have both. I can honestly say that I look forward to going to work every day and I don't see that changing. The environment here is one in which you're given the tools to succeed and are surrounded by colleagues and a management team who cares and gives their all. Here you'll find support, as well as guidance in your role and career as a whole. I would highly recommend ConsultNet to anyone looking for a long-term home in their next career opportunity.",None that I can think of.,25-Oct-18,Current Employee , Account Executive,R0188
RE174,"""Motorola - Great People and a Great Place to Work""","Motorola has some of the best people and processes around. As a veteran, I also appreciate the efforts of the Veterans Business Council which provides training, career development, and significant networking opportunities. Motorola's objective determination and mission-driven approach to approaching those objectives appeals to the former Marine in me.",I can't think of any worth mentioning!,24-Feb-20,Current Employee , Director,R0189
RE175,"""Great Place to Work!""","I worked for 25 years at CNA and during that time I met and worked with some amazing people. I also got to do some amazing things that no one else (even military) get to do. Think hard about CNA if you get an offer, it really is a great place to experience interesting things while doing technical work.","CNA has all the problems that any mid-sized corporation has. It is also beholden to its primary client - the US Military. This can make getting things done complicated and frustrating. The unique culture at CNA makes it hard to find good leaders, though the ""new"" CEO is trying. Much of the legacy senior leadership is incompetent. However the work environment is still friendly, caring, and fun, just some of the leadership is not very good. At all.",20-Sep-18,Former Employee , Anonymous,R0190
RE176,"""Good place to work""","Supervisor, not Larry, was easy to get along with as long as you did your job.",Too many hours when someone went on vacation. 80+ hours a week was the average when someone from your department went on vacation.,28-Aug-18,Former Employee , Pressman,R0191
RE177,"""Great Place to Work""","Indivior has an excellent culture with a respectful work/life balance. As a smaller organization, team members can drive results wherever there is a need. Indivior serves an important role in helping patients and their families with addiction challenges.","Indivior is navigating through changes in its product portfolio and litigation challenges, which is creating opportunities to challenge prior business practices and drive efficiencies. If you're up to the challenge - it's an exciting time to be here.",26-Nov-19,Current Employee , Prefer Not to Say,R0192
RE178,"""Couldn't be happier, Found my place""","surrounded by smart, driven people who are passionate about their jobs free lunch Work from home Wednesdays travel quarterly for team offsite","Not AS flexible on working from home, but we do work from home once a week. So give and take. each of our teams seem to work in silos, so would be great to make sure everyone is connected and on the same page so we can grow together.",27-Nov-18,Current Employee , Anonymous,R0193
RE179,"""Career not a Job""","Delta makes a difference. They truly care for their shareholders. You feel part of a family. Hard work, a lot of hours but can be very rewarding. Training programs are extensive and informative. They take the time to make sure you are in the best position to be successful.",Limited work / life balance,26-Dec-19,Current Employee , Construction Foreman,R0194
RE180,"""It was a great company""",It was super easy and really nice call center people were friendly,They take dress code to serious,26-May-19,Former Employee , Customer Service Advocate,R0195
RE181,"""Contracts Manager II""",The benefits are better than BEST!,Not a cons - but CO-OP is growing and continuing to excel in what they do for their clients. Lots of changes but all towards positivity and progress. If youre afraid of change - then think twice.,13-Dec-18,Former Employee , Contracts Manager II,R0196
RE182,"""Fair to Good""",good work and family balance.,career advancement opportunity in this company,7-Mar-12,Current Employee , Predictive Analyst,R0197
RE183,"""A great place to develop your leadership skills""","Super engaged and passionate teams. A lot of cross functional projects that will expose you to many elements of the business. Its not about your title, its about the value you bring to the organization that generates respect and collaboration.",People stay a really long time so opportunities to move up are rare.,7-Feb-20,Current Employee , Anonymous,R0198
RE184,"""Best Internship Experience at Honda Aircraft Company""","Positive Atmosphere, Supportive Team, Good Cafeteria, Best in respective fields","Little Remote, More Meetings,",3-Jan-19,Current Employee , Data Analyst Intern,R0199
